,val_pr_auc,val_roc_auc,val_f1,val_precision,val_recall,val_threshold,val_base_rate,val_lift,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_threshold,test_base_rate,test_lift,segundos
Baseline: vol. realizada,0.6850056106905114,0.8600752371606151,0.7023172905525846,0.7911646586345381,0.6314102564102564,0.01623119087110297,0.1327659574468085,5.159497388213788,0.45270510741327946,0.756416854618571,0.4489795918367347,0.5945945945945946,0.36065573770491804,0.01623119087110297,0.07790549169859515,5.810952444337669,
Baseline: drawdown actual,0.6453385438911836,0.8484727674190384,0.5873015873015873,0.5817610062893082,0.592948717948718,0.07987256858829693,0.1327659574468085,4.860723006872697,0.49233968205840517,0.7538637361306632,0.44148936170212766,0.43005181347150256,0.453551912568306,0.07987256858829693,0.07790549169859515,6.319704443471004,
Regresión logística,0.4158371391258215,0.6418906167434136,0.3813559322033898,0.5625,0.28846153846153844,0.1323879292956993,0.1327659574468085,3.1321066568771814,0.2817883531297323,0.6331254509584285,0.28651685393258425,0.2947976878612717,0.2786885245901639,0.1323879292956993,0.07790549169859515,3.6170537786980397,
CNN cnn_prof,0.6656850601844899,0.8302115573337359,0.66796875,0.855,0.5480769230769231,0.2007008175598223,0.1327659574468085,5.013974011004973,0.398936015501347,0.7069413539601088,0.40784313725490196,0.7222222222222222,0.28415300546448086,0.2007008175598223,0.07790549169859515,5.1207688547140116,134.0
CNN cnn_raw,0.7193829613808935,0.8715165068820614,0.6860254083484574,0.7907949790794979,0.6057692307692307,0.20438750885239168,0.1327659574468085,5.418429356554808,0.5202877088894566,0.8189707804166729,0.4589041095890411,0.6146788990825688,0.366120218579235,0.20438750885239168,0.07790549169859515,6.678447148531878,136.3
CNN cnn_mag,0.7261940377574422,0.879114139050351,0.6712564543889845,0.724907063197026,0.625,0.12067665551840769,0.1327659574468085,5.46973073310894,0.5181984277695122,0.8297937827023699,0.44571428571428573,0.46706586826347307,0.4262295081967213,0.12067665551840769,0.07790549169859515,6.65162899907423,192.5
CNN cnn_mag_bn,0.6862781220475217,0.8565933167257995,0.6436781609195402,0.8,0.5384615384615384,0.9421930213745905,0.1327659574468085,5.169082009011783,0.5155128867326424,0.7786658189909632,0.5036496350364964,0.7582417582417582,0.3770491803278688,0.9421930213745905,0.07790549169859515,6.617157218223918,235.1
CNN cnn_mag_gap,0.7020487575221498,0.8641421957172692,0.6879699248120301,0.8318181818181818,0.5865384615384616,0.05714564933834473,0.1327659574468085,5.287867244157218,0.4523569044271355,0.7682540403352355,0.4305555555555556,0.5904761904761905,0.33879781420765026,0.05714564933834473,0.07790549169859515,5.806482887974543,193.4
