seed,generator,n_real,n_synth,n_real_efectivo,n_train,tasa_positivos_train,epocas,segundos,val_pr_auc,val_roc_auc,val_f1,val_precision,val_recall,val_threshold,val_base_rate,val_lift,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_threshold,test_base_rate,test_lift
0,sin_sinteticos,500,0,500,500,0.05,100,23.6,0.7370300310087847,0.8801929996728819,0.6852589641434262,0.9052631578947369,0.5512820512820513,0.0648448425681651,0.1327659574468085,5.551347989970013,0.47890357639797565,0.8148055643855108,0.4304635761589404,0.5462184873949579,0.3551912568306011,0.0648448425681651,0.07790549169859515,6.147237710157622
0,ruido,500,250,500,750,0.36666666666666664,100,26.0,0.7205556977615927,0.8641657859641176,0.7109375,0.91,0.5833333333333334,0.6512298714989374,0.1327659574468085,5.427262467114561,0.4885917151166139,0.8018028245765406,0.38823529411764707,0.42038216560509556,0.36065573770491804,0.6512298714989374,0.07790549169859515,6.271595294037848
0,ruido,500,500,500,1000,0.525,100,29.1,0.7379747562699067,0.8573749402380412,0.6852589641434262,0.9052631578947369,0.5512820512820513,0.7333328589671799,0.1327659574468085,5.558463709084234,0.49764635199129614,0.8187967041561338,0.4401294498381877,0.5396825396825397,0.37158469945355194,0.7333328589671799,0.07790549169859515,6.387821206707949
0,ruido,500,1000,500,1500,0.6833333333333333,100,34.1,0.7401777911990641,0.8662039832918145,0.7058823529411765,0.7951807228915663,0.6346153846153846,0.8777091586199127,0.1327659574468085,5.575057081146798,0.5395148208119367,0.8396707183547018,0.4734042553191489,0.46113989637305697,0.48633879781420764,0.8777091586199127,0.07790549169859515,6.925247617963056
0,ruido,500,2000,500,2500,0.81,100,46.9,0.7335937069653475,0.8549577262776478,0.6892430278884463,0.9105263157894737,0.5544871794871795,0.9624828006039147,0.1327659574468085,5.525465421053099,0.5065829763651183,0.8278966037469284,0.4336569579288026,0.5317460317460317,0.366120218579235,0.9624828006039147,0.07790549169859515,6.502532303178485
0,gaussiano,500,250,500,750,0.36666666666666664,100,26.8,0.7295116777318522,0.8643214815933167,0.7041742286751361,0.8117154811715481,0.6217948717948718,0.05619902163712667,0.1327659574468085,5.49471936753158,0.5002260730846745,0.821945213911973,0.4,0.39572192513368987,0.40437158469945356,0.05619902163712667,0.07790549169859515,6.420934675824592
0,gaussiano,500,500,500,1000,0.525,100,29.3,0.7175357021709309,0.8769666402455902,0.7023172905525846,0.7911646586345381,0.6314102564102564,0.045212450877833814,0.1327659574468085,5.404515705454127,0.4917316325503581,0.7834314719787677,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.045212450877833814,0.07790549169859515,6.311899480113613
0,gaussiano,500,1000,500,1500,0.6833333333333333,100,33.7,0.7221518426388255,0.8919527377267809,0.6734348561759729,0.7132616487455197,0.6378205128205128,0.03533767977050122,0.1327659574468085,5.439284712183461,0.48361341396566854,0.7839537007603853,0.36764705882352944,0.3333333333333333,0.4098360655737705,0.03533767977050122,0.07790549169859515,6.2076934940183355
0,gaussiano,500,2000,500,2500,0.81,100,45.8,0.7160767103330127,0.8801348103973228,0.6932849364791288,0.799163179916318,0.6121794871794872,0.06270868172164724,0.1327659574468085,5.393526504110834,0.4869274618618526,0.8030617239100051,0.4340175953079179,0.46835443037974683,0.40437158469945356,0.06270868172164724,0.07790549169859515,6.25023283012837
0,student_t,500,250,500,750,0.36666666666666664,100,26.2,0.7050677185401557,0.8545472559824865,0.667741935483871,0.672077922077922,0.6634615384615384,0.36789332725320545,0.1327659574468085,5.310606213363353,0.4527834967658797,0.7694473457154534,0.35170603674540685,0.3383838383838384,0.366120218579235,0.36789332725320545,0.07790549169859515,5.811958655207931
