seed,n_synth,val_pr_auc,val_lift,test_pr_auc,test_lift,generator
0,2000,0.5466993294119376,4.117767384993761,0.3310630523978843,4.249547049631859,ruido
0,2000,0.5925727695743783,4.463288488781376,0.2909340246519722,3.734448218073676,gaussiano
0,2000,0.7214260300282223,5.433817854379239,0.49122709218141286,6.305423166853218,student_t
0,2000,0.5981258871755618,4.505114855328752,0.22791870460466074,2.925579437794252,vae
0,2000,0.5316108312729781,4.004120043241984,0.17553486279920524,2.253177009373405,gan
0,2000,0.46213601213680516,3.4808321426970905,0.14530939884074356,1.8652009720049543,autoregresivo
0,2000,0.6211897165379074,4.678832800846418,0.40369393980392776,5.181841883056975,factor_mercado
1,2000,0.5605098041939292,4.221788589281197,0.27333864860058565,3.5085928172829273,ruido
1,2000,0.6125072217414116,4.613435804783069,0.3041024185101444,3.903478585138411,gaussiano
1,2000,0.7242555006606901,5.4551295722840445,0.48222819905999237,6.189912784655312,student_t
1,2000,0.2748434522041624,2.0701349765377617,0.15493240295427207,1.9887224838228694,vae
1,2000,0.5957071562055171,4.486896849624888,0.2824325262903885,3.625322427629085,gan
1,2000,0.6002831157627153,4.5213632116742986,0.24248133503502628,3.1125063169250096,autoregresivo
1,2000,0.615090578648789,4.632893781489277,0.3991860874854502,5.123978795100123,factor_mercado
2,2000,0.5662124245015834,4.2647410178805165,0.3369340369288514,4.3249073920539445,ruido
2,2000,0.6009148372328688,4.526121370183467,0.32785272948508903,4.208339134210241,gaussiano
2,2000,0.7133188440065338,5.3727541135107515,0.4840952989275639,6.213879000988238,student_t
2,2000,0.6023062753737434,4.5366017536163366,0.28304423876486123,3.6331744090637104,vae
2,2000,0.35016528403771097,2.6374628765660924,0.15176574045025654,1.9480749962713257,gan
2,2000,0.6591277632616164,4.964584114310252,0.41269050756143655,5.297322416731227,autoregresivo
2,2000,0.634501529081901,4.779098055584832,0.4068083894288985,5.221819162669304,factor_mercado
