,tasa_base_test,test_pr_auc,lift,test_roc_auc
Régimen de volatilidad / vol. realizada,0.07790549169859515,0.45270510741327946,5.810952444337669,0.756416854618571
Régimen de volatilidad / drawdown actual,0.07790549169859515,0.49233968205840517,6.319704443471004,0.7538637361306632
Caída >= 8% / vol. realizada,0.05151128139633887,0.06879156892439026,1.3354660777139893,0.5661527961185215
Caída >= 8% / drawdown actual,0.05151128139633887,0.09550242334592533,1.8540098548725503,0.6100549727732689
